id	start_ener	final_ener	rms
4	10N	10N	10N
CNN	  -59.64	  -62.10	   0.004
NO3	  -72.06	  -72.08	   0.004
AX2	 -278.29	 -279.28	   0.012
NSM	   -5.57	   -6.76	   0.012
0NM	  -37.44	  -38.11	   0.013
E1H	  -19.93	  -20.46	   0.013
IS8	  -12.95	  -17.29	   0.013
RRA	  -11.18	  -12.38	   0.013
TOU	 -129.29	 -129.94	   0.013
CCN	  -16.70	  -17.02	   0.014
CFT	   -1.33	   -1.65	   0.014
PO2	  -83.49	  -83.63	   0.014
ACU	    6.84	    5.58	   0.016
JYF	   -5.74	   -6.22	   0.016
MCE	   -5.69	   -6.19	   0.016
2MZ	  -33.47	  -34.17	   0.017
4MZ	  -28.00	  -29.23	   0.017
61G	   -4.78	   -5.40	   0.017
ACM	  -42.53	  -43.62	   0.017
BBX	   -6.20	   -6.73	   0.017
BNZ	    1.96	    1.28	   0.017
CNM	  -42.53	  -43.62	   0.017
CNV	   -9.88	  -10.36	   0.017
HDN	   -4.12	   -5.39	   0.017
TME	    1.22	    0.88	   0.017
8P0	    8.41	    3.76	   0.018
EOH	  -10.88	  -11.50	   0.018
NPY	    3.41	    0.88	   0.018
ZZS	 -170.86	 -173.09	   0.018
03V	  -20.99	  -23.87	   0.019
AN3	    4.92	    0.10	   0.019
MCB	    6.58	    5.61	   0.019
MEB	   -3.23	   -3.75	   0.019
MZY	  -54.23	  -55.86	   0.019
NBU	    1.49	    1.02	   0.019
OHE	  -10.80	  -11.44	   0.019
URE	 -114.64	 -118.79	   0.019
6AM	 -238.36	 -240.27	   0.020
ACN	   18.36	   17.08	   0.020
BUT	    1.50	    1.02	   0.020
MBN	   -0.43	   -1.34	   0.020
PEY	    9.44	    5.81	   0.020
TRI	  -29.98	  -30.99	   0.020
0PY	  -13.44	  -14.63	   0.021
3AW	 -183.17	 -185.11	   0.021
ANL	  -35.73	  -37.48	   0.021
CHX	    3.29	    2.32	   0.021
CO2	   -6.59	   -7.52	   0.021
LG3	 -161.88	 -163.65	   0.021
PXY	   -2.67	   -3.85	   0.021
TB0	  -40.34	  -41.08	   0.021
W62	   13.73	    8.01	   0.021
3AY	 -259.86	 -260.60	   0.022
3CN	   -6.88	   -8.07	   0.022
ISQ	   -7.20	  -10.29	   0.022
16N	    6.93	    4.90	   0.023
8GF	  -83.47	  -85.63	   0.023
8VH	   -2.97	   -4.06	   0.023
CRS	  -26.80	  -28.14	   0.023
IPH	  -21.78	  -23.07	   0.023
JFD	 -275.25	 -277.75	   0.023
LGA	  -67.44	  -69.04	   0.023
SEZ	   -5.70	   -6.85	   0.023
TI5	  -61.44	  -63.44	   0.023
3MP	   -7.88	   -9.41	   0.024
6MU	 -106.04	 -107.38	   0.024
DEN	   12.61	   10.17	   0.024
DMS	  -29.60	  -30.42	   0.024
ESA	  -79.54	  -80.96	   0.024
G6C	  -44.05	  -46.68	   0.024
LDB	 -133.11	 -135.42	   0.024
MNC	   -3.97	   -4.70	   0.024
MR3	   -5.21	   -7.11	   0.024
P1R	   -2.20	   -3.65	   0.024
PCR	  -15.92	  -20.20	   0.024
TAN	   -0.33	   -1.29	   0.024
03S	  -93.84	  -95.09	   0.025
13X	 -115.53	 -117.53	   0.025
15O	    5.88	    2.90	   0.025
5ZE	  -84.97	  -86.43	   0.025
8PN	  -24.86	  -25.89	   0.025
8X3	 -119.00	 -120.32	   0.025
9SB	 -111.98	 -113.10	   0.025
AJ2	  -76.70	  -80.25	   0.025
C5O	   -2.48	   -3.69	   0.025
CQG	  -62.90	  -64.61	   0.025
EOX	   -8.65	   -9.79	   0.025
ES3	  -22.19	  -23.66	   0.025
HUH	  -19.04	  -20.64	   0.025
ISO	  -34.74	  -37.39	   0.025
OXE	   -1.05	   -2.39	   0.025
RVV	  -32.01	  -33.35	   0.025
S5V	  -19.96	  -21.67	   0.025
U0O	  -23.40	  -24.12	   0.025
W6T	  -62.04	  -65.62	   0.025
Y84	    4.60	    1.37	   0.025
1LM	  -76.80	  -79.92	   0.026
1LQ	  -55.92	  -59.70	   0.026
2MP	  -25.76	  -27.56	   0.026
5I2	  -20.81	  -24.46	   0.026
6FB	  -81.85	  -88.49	   0.026
7W1	  -61.40	  -64.61	   0.026
8CL	   -0.87	   -1.95	   0.026
C4O	   -3.50	   -4.77	   0.026
CAQ	  -14.71	  -20.37	   0.026
ERH	  -30.79	  -32.17	   0.026
IPA	  -18.03	  -18.86	   0.026
LNK	    1.72	    1.11	   0.026
NKE	    1.99	   -2.56	   0.026
PTW	 -205.29	 -208.04	   0.026
PYD	  -71.72	  -74.53	   0.026
QBC	  -90.28	  -93.05	   0.026
QTE	    2.94	    1.57	   0.026
R4W	  -56.22	  -57.15	   0.026
TJL	  -47.15	  -49.76	   0.026
TSM	  -44.91	  -47.07	   0.026
WMH	  -22.99	  -24.78	   0.026
XBZ	   -3.36	   -4.94	   0.026
ZCI	  -22.63	  -23.69	   0.026
12B	   13.92	    9.46	   0.027
18N	  -80.45	  -83.60	   0.027
1NP	   -6.05	  -11.14	   0.027
2XH	    2.03	   -0.91	   0.027
4AN	 -142.19	 -146.23	   0.027
4ZE	  -40.63	  -43.95	   0.027
5Q0	  -38.45	  -41.84	   0.027
8P7	  -27.88	  -31.25	   0.027
ARF	  -45.10	  -46.17	   0.027
BML	  -23.68	  -25.15	   0.027
BZI	  -13.86	  -17.60	   0.027
CBM	  -31.57	  -33.70	   0.027
CWS	  -56.79	  -60.92	   0.027
FPN	  -19.03	  -20.59	   0.027
HQE	  -33.81	  -35.54	   0.027
LOM	   -3.54	   -5.09	   0.027
M4A	  -88.59	  -91.73	   0.027
PRL	 -123.18	 -128.80	   0.027
Q24	 -143.70	 -147.26	   0.027
QD1	  -82.60	  -85.34	   0.027
QUZ	    2.59	   -0.66	   0.027
TAU	 -118.43	 -120.18	   0.027
TMO	  -38.23	  -39.52	   0.027
V9U	  -99.90	 -103.22	   0.027
XYD	  -32.26	  -34.89	   0.027
YY1	  -60.14	  -62.59	   0.027
1PK	 -179.55	 -184.48	   0.028
4CH	  -22.21	  -23.73	   0.028
4FT	   30.13	   25.37	   0.028
4HS	  -41.67	  -43.94	   0.028
4MN	  -35.43	  -37.80	   0.028
4NL	  -41.91	  -45.01	   0.028
51S	  -28.12	  -31.14	   0.028
51V	  -27.90	  -30.43	   0.028
5IQ	  -24.03	  -28.10	   0.028
5MI	    2.06	   -2.60	   0.028
D1V	 -122.37	 -126.37	   0.028
DJP	  -27.34	  -28.85	   0.028
GZ6	 -224.41	 -225.55	   0.028
H3Z	  -21.62	  -23.49	   0.028
HRZ	  -39.41	  -41.94	   0.028
LYT	   -6.64	   -7.88	   0.028
MWJ	  -20.42	  -22.26	   0.028
POL	   -7.73	   -8.62	   0.028
Q4H	  -82.60	  -85.44	   0.028
T5V	    8.50	    5.77	   0.028
TBU	  -26.67	  -27.63	   0.028
U6W	   23.54	   18.93	   0.028
V06	  -79.43	  -81.20	   0.028
WQG	  -92.97	  -96.38	   0.028
2HT	   -0.13	   -1.45	   0.029
34A	  -37.76	  -40.43	   0.029
5KX	  -22.48	  -23.69	   0.029
6RQ	 -114.61	 -117.90	   0.029
ACT	  -31.20	  -33.42	   0.029
ACY	  -31.23	  -33.44	   0.029
ADM	    8.33	    6.01	   0.029
ANC	  -19.14	  -25.17	   0.029
BBW	  -58.15	  -62.13	   0.029
BT6	   -2.62	   -3.91	   0.029
C4U	   -4.06	   -5.33	   0.029
CB0	    0.31	   -0.83	   0.029
ENC	  -43.76	  -46.52	   0.029
FIV	  -51.33	  -55.56	   0.029
HEX	    1.99	    1.27	   0.029
K5V	  -76.56	  -79.46	   0.029
LDR	  -30.38	  -33.15	   0.029
MBD	  -17.69	  -20.89	   0.029
