CO1  0.0000
CNN  0.0068
CCN  0.0134
CFT  0.0153
CNV  0.0159
CNM  0.0172
CO2  0.0211
CHX  0.0217
CQG  0.0231
CRS  0.0233
CB0  0.0284
CBM  0.0287
CXL  0.0309
CNH  0.0339
CYI  0.0344
CYH  0.0345
CP2  0.0353
CHB  0.0372
CWS  0.0372
C2Y  0.0376
CDE  0.0381
CNL  0.0402
CVG  0.0418
COU  0.0423
CFF  0.0424
CAQ  0.0425
CGD  0.0441
CW6  0.0444
CEE  0.0445
CNX  0.0450
CFP  0.0456
CK2  0.0466
CC4  0.0474
CH9  0.0480
CWJ  0.0481
CIJ  0.0489
CA1  0.0493
CFH  0.0493
C2U  0.0501
CAE  0.0506
CLW  0.0521
C5J  0.0525
CN9  0.0544
CRD  0.0546
C5E  0.0560
C7H  0.0574
CP7  0.0576
C9E  0.0579
CHN  0.0579
CP6  0.0580
CBZ  0.0581
CP9  0.0581
CRY  0.0583
CIN  0.0597
CTV  0.0603
CFI  0.0604
CIG  0.0609
C4F  0.0617
C7N  0.0618
CC2  0.0629
CUQ  0.0630
C6W  0.0632
CEQ  0.0632
CHM  0.0632
CCM  0.0637
C14  0.0640
CHZ  0.0645
C00  0.0648
CXF  0.0654
CYY  0.0662
CI4  0.0665
CO3  0.0671
CQO  0.0678
C2M  0.0685
CMW  0.0694
CR4  0.0695
CCE  0.0699
CQC  0.0708
CDJ  0.0710
CTL  0.0711
C58  0.0718
CX4  0.0720
CHA  0.0722
C9M  0.0723
CUE  0.0724
C9K  0.0725
C8K  0.0728
CQF  0.0734
CNW  0.0737
CXO  0.0740
CBU  0.0745
CLU  0.0749
C5V  0.0753
CX6  0.0759
C09  0.0760
CHW  0.0763
C15  0.0766
CH5  0.0778
C6V  0.0781
CZX  0.0781
CCD  0.0786
CFK  0.0788
CJY  0.0790
C4C  0.0791
CXS  0.0791
C9H  0.0795
CZS  0.0795
CMG  0.0796
C27  0.0797
C21  0.0806
CHT  0.0812
CPZ  0.0814
CWE  0.0815
CHJ  0.0819
COG  0.0826
CLX  0.0827
CWB  0.0827
CVF  0.0830
COV  0.0839
C6Z  0.0842
C8Z  0.0844
C8C  0.0845
CXQ  0.0846
CQV  0.0852
CFA  0.0853
CQK  0.0854
CWP  0.0854
CLK  0.0855
CCU  0.0860
CIY  0.0861
CLQ  0.0862
C1I  0.0864
CJU  0.0877
CT2  0.0879
CKC  0.0881
C0J  0.0883
CVN  0.0885
C29  0.0886
CCB  0.0898
CUH  0.0899
CT0  0.0900
C5M  0.0904
CCV  0.0905
CVK  0.0907
CU7  0.0908
C7A  0.0909
CD0  0.0911
CF8  0.0913
CTE  0.0915
C4Q  0.0916
CGB  0.0918
CXW  0.0923
C5Q  0.0925
CWA  0.0927
C23  0.0933
C8U  0.0934
CY8  0.0935
C5Z  0.0936
CVX  0.0936
CAT  0.0938
CDQ  0.0938
CJD  0.0940
C3D  0.0946
C8O  0.0948
CC5  0.0949
CPM  0.0949
CM4  0.0953
C1L  0.0958
CEU  0.0958
CBE  0.0959
CJT  0.0959
CM3  0.0969
C51  0.0971
CU5  0.0972
CBP  0.0974
CJ0  0.0974
CCL  0.0979
CK6  0.0982
CJN  0.0988
CUD  0.0988
CQU  0.0990
C10  0.0992
CXE  0.0993
CPV  0.0995
CMN  0.0996
CJ9  0.0999
C11  0.1001
CS1  0.1004
COQ  0.1008
CTS  0.1010
CE1  0.1011
CK8  0.1011
CWT  0.1014
C0Z  0.1020
CJQ  0.1023
