FPN  0.0269
FBA  0.0313
FIV  0.0314
F60  0.0328
FK1  0.0331
FLM  0.0340
FPZ  0.0351
FL3  0.0363
FHB  0.0371
FBB  0.0385
FMT  0.0385
FU1  0.0398
F9Y  0.0404
F5B  0.0410
FJO  0.0412
FCR  0.0419
FFP  0.0430
FP2  0.0433
FUM  0.0439
FAN  0.0444
FKZ  0.0447
F4K  0.0457
FYU  0.0472
FE3  0.0486
FGZ  0.0491
FCW  0.0497
F4Z  0.0500
FXY  0.0500
FDR  0.0507
FYS  0.0510
F3B  0.0511
FWH  0.0513
FXH  0.0513
FRD  0.0518
FVY  0.0521
FLV  0.0524
F3E  0.0528
FU0  0.0532
F0J  0.0533
FNA  0.0539
F09  0.0545
FK8  0.0554
FTM  0.0564
FIQ  0.0570
FP6  0.0577
F6Z  0.0578
F81  0.0580
FOP  0.0581
FOH  0.0586
FYR  0.0587
FA7  0.0593
F40  0.0594
FN1  0.0596
F31  0.0598
FL0  0.0598
FBR  0.0600
FER  0.0602
FT0  0.0611
FGT  0.0613
F2K  0.0615
F5R  0.0622
F1V  0.0628
FZ3  0.0629
FG7  0.0633
FU2  0.0633
FAC  0.0637
FNO  0.0639
F6Y  0.0640
FGQ  0.0644
F0M  0.0647
FBC  0.0647
F5F  0.0651
FW5  0.0652
FOT  0.0653
FZM  0.0678
FQY  0.0691
F1U  0.0694
F50  0.0698
FYX  0.0703
FJU  0.0705
FPO  0.0707
F35  0.0715
FWB  0.0717
FV4  0.0737
F9G  0.0739
F36  0.0740
FJR  0.0746
FNJ  0.0746
FOA  0.0746
FUJ  0.0746
FK0  0.0747
FXK  0.0747
FB2  0.0748
FOF  0.0750
FTL  0.0750
F9T  0.0751
FG0  0.0752
FBS  0.0754
FW9  0.0757
FW4  0.0758
FN9  0.0759
FSV  0.0759
FNC  0.0760
FBF  0.0763
F04  0.0764
FSN  0.0764
FY6  0.0771
FVV  0.0772
FTX  0.0774
F5Y  0.0776
FT1  0.0777
F69  0.0778
FDN  0.0781
F8T  0.0784
FPA  0.0784
FPL  0.0786
FBW  0.0793
FWN  0.0793
F4G  0.0797
FDK  0.0798
F16  0.0802
F7W  0.0802
F8U  0.0804
FQV  0.0806
FJT  0.0814
FBT  0.0816
FLY  0.0818
FMQ  0.0819
FE6  0.0820
FRC  0.0825
F2D  0.0828
FR6  0.0831
FHV  0.0843
F2W  0.0845
F37  0.0848
F54  0.0849
FBU  0.0853
FV7  0.0853
FRR  0.0854
F1A  0.0855
FAR  0.0857
FJ4  0.0860
F51  0.0866
FT7  0.0866
F06  0.0872
FGH  0.0872
F52  0.0876
FVN  0.0877
FMV  0.0878
FB1  0.0881
F90  0.0883
F2X  0.0885
F9P  0.0885
FU5  0.0888
FKM  0.0889
FJX  0.0891
FBM  0.0896
FR3  0.0896
F4E  0.0897
FMX  0.0899
F11  0.0903
F97  0.0903
F0F  0.0907
F45  0.0909
FF3  0.0912
FLZ  0.0913
FXB  0.0915
FEK  0.0917
FHH  0.0918
FQU  0.0920
FR2  0.0920
FW7  0.0921
F92  0.0922
FWQ  0.0922
FR7  0.0923
F4C  0.0924
F5Z  0.0926
FEU  0.0927
FYZ  0.0928
F67  0.0930
FT3  0.0934
FLB  0.0937
FPT  0.0940
FCQ  0.0942
FHZ  0.0943
FPW  0.0943
FKH  0.0948
FV0  0.0952
FYF  0.0960
F5E  0.0962
FVR  0.0963
FTV  0.0964
F0Y  0.0966
FNI  0.0966
FFA  0.0971
FM2  0.0973
FBK  0.0974
FSZ  0.0975
F8K  0.0977
F8P  0.0977
FOE  0.0977
F10  0.0980
FJY  0.0980
FJ1  0.0981
FO0  0.0981
F3W  0.0989
FDL  0.0993
F9D  0.0994
F6T  0.0998
FU7  0.0999
F3V  0.1001
F6W  0.1003
F9W  0.1004
F44  0.1005
FD9  0.1007
F1S  0.1008
FXR  0.1008
FV3  0.1009
FWA  0.1009
FSK  0.1011
FI0  0.1013
F7M  0.1016
FW8  0.1018
F59  0.1022
FVD  0.1026
FVJ  0.1026
FYC  0.1026
F0B  0.1030
FRA  0.1031
FVM  0.1032
FLW  0.1034
FZ0  0.1034
FCH  0.1036
FTZ  0.1037
FQR  0.1039
F12  0.1042
FMD  0.1043
FG8  0.1044
FO4  0.1044
FYV  0.1044
FZB  0.1046
FKJ  0.1048
F8M  0.1049
FH2  0.1049
FTB  0.1052
FWK  0.1052
FMB  0.1056
FTC  0.1057
FZV  0.1058
FNZ  0.1059
F5Q  0.1061
FKS  0.1061
FYE  0.1064
F1Z  0.1065
FUX  0.1072
FQ0  0.1074
FZX  0.1074
FKN  0.1076
FZU  0.1077
FGN  0.1079
FUZ  0.1079
F8S  0.1081
FM1  0.1082
F7B  0.1083
F6N  0.1086
FTW  0.1087
FUS  0.1088
F21  0.1091
FX5  0.1091
FPU  0.1094
FTR  0.1095
F0O  0.1096
F0K  0.1099
FIC  0.1099
F5C  0.1105
FMH  0.1108
F0T  0.1109
FO7  0.1109
FYB  0.1110
FWX  0.1112
FJF  0.1113
FKV  0.1114
FLF  0.1115
F0R  0.1117
FTJ  0.1117
FZL  0.1117
FUN  0.1119
FKO  0.1122
FFV  0.1124
FB7  0.1126
F33  0.1132
F56  0.1132
FD3  0.1137
FJE  0.1141
F1Y  0.1142
FO2  0.1142
FIT  0.1144
F3D  0.1145
FTK  0.1145
F1Q  0.1147
F1E  0.1148
F63  0.1153
FJZ  0.1154
FVX  0.1154
F8J  0.1155
FHW  0.1155
FH8  0.1158
F7Q  0.1160
F4F  0.1161
F7V  0.1161
FBX  0.1162
FD7  0.1163
FFW  0.1163
FJ0  0.1163
FBV  0.1165
FGM  0.1167
F83  0.1168
F8Q  0.1168
FMM  0.1168
FJQ  0.1169
FY1  0.1169
FIG  0.1176
FXI  0.1177
F75  0.1180
FKG  0.1180
F4R  0.1186
FR0  0.1186
FR8  0.1192
F6D  0.1193
F47  0.1195
F5V  0.1196
FCM  0.1212
FH5  0.1217
F85  0.1218
FBJ  0.1218
FG2  0.1220
FRK  0.1221
F70  0.1223
FI1  0.1227
FT2  0.1228
FFS  0.1230
FZO  0.1232
FHN  0.1235
FU6  0.1235
FIH  0.1236
FST  0.1237
F9B  0.1239
FTU  0.1242
FKR  0.1243
F94  0.1246
FJH  0.1248
FLG  0.1249
FUU  0.1249
F8H  0.1250
FFY  0.1256
FOC  0.1256
F80  0.1258
