HDN  0.0180
HUH  0.0246
HRZ  0.0260
H3Z  0.0268
HQE  0.0272
HHN  0.0275
HEX  0.0289
H8N  0.0291
HT4  0.0303
H42  0.0308
HBX  0.0320
HAI  0.0321
H3M  0.0333
HH8  0.0335
H4Q  0.0347
HNG  0.0349
HTS  0.0351
HP6  0.0353
HGQ  0.0362
HPA  0.0367
HVK  0.0368
HVQ  0.0374
HGW  0.0389
H6N  0.0394
HBA  0.0397
HE2  0.0402
H4N  0.0412
HFB  0.0414
HZQ  0.0416
HEW  0.0420
HMH  0.0425
HH5  0.0444
HS0  0.0444
HQY  0.0449
H4E  0.0451
H5B  0.0451
HFC  0.0456
HF9  0.0458
HE4  0.0465
HLR  0.0470
H7Y  0.0481
H48  0.0484
HX8  0.0486
HXS  0.0492
HOW  0.0498
H19  0.0501
HTX  0.0505
HVJ  0.0506
H33  0.0509
HEZ  0.0509
HC4  0.0514
HQJ  0.0521
HYN  0.0522
HFO  0.0524
HQD  0.0529
HQN  0.0530
HKY  0.0532
HX5  0.0540
HPL  0.0558
HYR  0.0560
HMU  0.0568
HUB  0.0569
HUX  0.0570
HF6  0.0571
HAE  0.0575
HB0  0.0575
HPN  0.0575
H3B  0.0578
H3Q  0.0583
HRD  0.0585
H3W  0.0589
HLT  0.0594
HP4  0.0596
HSL  0.0598
H5R  0.0601
HOM  0.0602
H05  0.0610
HVU  0.0610
H16  0.0620
H1P  0.0620
HT3  0.0621
H9K  0.0627
HLN  0.0632
H95  0.0633
HRO  0.0638
HM3  0.0639
HVD  0.0641
HZC  0.0643
H99  0.0645
HMO  0.0646
HNE  0.0647
HQU  0.0649
H7C  0.0650
HLZ  0.0652
H0V  0.0654
HK3  0.0654
HWH  0.0656
H5J  0.0658
HJG  0.0661
HND  0.0663
H3H  0.0672
HH9  0.0676
H8F  0.0680
HG6  0.0681
HVP  0.0687
H3E  0.0688
H12  0.0689
HTH  0.0695
HHR  0.0696
HMK  0.0699
HXT  0.0701
HJJ  0.0702
HUW  0.0705
H3L  0.0716
HK4  0.0717
H7R  0.0718
HKX  0.0721
H7X  0.0724
H76  0.0725
HPT  0.0726
H65  0.0727
HQ0  0.0727
HRM  0.0728
H1C  0.0730
H2M  0.0731
H7U  0.0732
H30  0.0746
HKC  0.0746
HQ8  0.0748
HXY  0.0748
HVO  0.0749
H3P  0.0756
HEE  0.0758
H11  0.0765
HNF  0.0765
H32  0.0766
HLV  0.0767
HCL  0.0769
HKA  0.0770
HLH  0.0772
HLF  0.0776
HSO  0.0777
H5A  0.0780
HX3  0.0781
HN8  0.0783
H56  0.0794
HVB  0.0795
HTR  0.0803
H7O  0.0807
HQK  0.0807
HFL  0.0810
HIK  0.0817
HMV  0.0818
HO7  0.0820
HB3  0.0821
H6O  0.0822
HTQ  0.0822
H1X  0.0824
H34  0.0827
HDS  0.0831
H1O  0.0835
HWW  0.0837
H1U  0.0838
HQT  0.0845
H1F  0.0848
HV7  0.0850
HX2  0.0851
HXE  0.0852
HNT  0.0853
HUC  0.0854
HXX  0.0856
HU3  0.0858
HJF  0.0860
HB2  0.0864
HMJ  0.0866
H83  0.0867
HSD  0.0867
H5I  0.0868
H7S  0.0868
HW3  0.0874
HN9  0.0880
HDO  0.0882
HGF  0.0884
HM5  0.0884
HQ3  0.0889
HHS  0.0890
HTO  0.0891
HST  0.0892
H24  0.0896
HXL  0.0896
H20  0.0898
HAV  0.0898
H4O  0.0899
HL4  0.0901
HCC  0.0905
HNA  0.0908
HLG  0.0909
HWT  0.0911
HWQ  0.0912
H7L  0.0917
H04  0.0920
HF8  0.0920
H8M  0.0922
H3N  0.0927
HXV  0.0928
H0D  0.0929
HAJ  0.0930
HBR  0.0933
H3D  0.0938
HQF  0.0938
HQO  0.0938
HLX  0.0943
H3V  0.0945
H1Z  0.0946
HML  0.0946
HM4  0.0950
HTJ  0.0950
H0L  0.0954
H9L  0.0956
HMY  0.0956
HBS  0.0960
HL1  0.0961
HLK  0.0962
HY4  0.0963
HPX  0.0966
H4U  0.0972
HZK  0.0973
HHA  0.0974
H93  0.0978
H0K  0.0980
