IS8  0.0122
ISQ  0.0216
IPH  0.0226
ISO  0.0257
IPA  0.0266
IBN  0.0294
IGA  0.0299
IPB  0.0309
I4B  0.0310
I7E  0.0334
IOL  0.0340
IMD  0.0345
IUR  0.0348
IND  0.0360
ICO  0.0396
IMW  0.0411
IV2  0.0431
IDM  0.0435
IJ1  0.0489
IP0  0.0492
IS7  0.0495
I1E  0.0496
IQD  0.0502
IBF  0.0505
IDI  0.0510
ITU  0.0519
I3V  0.0524
IGT  0.0524
IOB  0.0528
ICN  0.0535
I75  0.0542
IPU  0.0542
INO  0.0544
ISN  0.0546
ITE  0.0561
I5H  0.0564
I3E  0.0570
ICP  0.0570
IFZ  0.0570
I6G  0.0580
II4  0.0580
IH9  0.0581
I82  0.0589
INE  0.0593
I8U  0.0596
ITR  0.0598
IBM  0.0601
I3C  0.0606
IF3  0.0606
IFS  0.0607
IDZ  0.0610
IBU  0.0613
ION  0.0626
IBZ  0.0627
II6  0.0629
IW2  0.0631
I15  0.0632
IXX  0.0632
IW5  0.0634
IJ4  0.0645
I8R  0.0666
IQQ  0.0666
I6A  0.0668
I8N  0.0673
IPZ  0.0675
IT9  0.0679
ILL  0.0681
IJZ  0.0687
IRG  0.0691
IJ6  0.0695
IJ2  0.0704
IMT  0.0704
I5W  0.0706
I8Q  0.0713
IGX  0.0722
I4S  0.0728
IW3  0.0728
IHF  0.0729
I31  0.0734
IXM  0.0743
IXF  0.0755
ISZ  0.0764
IA4  0.0766
IW4  0.0772
INS  0.0774
ISH  0.0775
I0G  0.0778
IDD  0.0781
IPJ  0.0791
IUY  0.0797
IVU  0.0803
IRB  0.0804
IHR  0.0812
IDQ  0.0820
IMH  0.0830
IPQ  0.0839
I9Q  0.0841
I2H  0.0842
IW1  0.0845
IYX  0.0852
IXG  0.0853
IL0  0.0857
IGF  0.0859
I40  0.0860
I17  0.0867
IDN  0.0877
I81  0.0878
IQZ  0.0886
IHQ  0.0887
ID0  0.0889
IHG  0.0889
INR  0.0895
I39  0.0902
IEO  0.0902
ISI  0.0905
ICB  0.0906
IL5  0.0911
IBQ  0.0912
I18  0.0916
I93  0.0916
IHD  0.0918
IHH  0.0929
I6W  0.0931
IBR  0.0938
I6X  0.0939
IXO  0.0940
IWH  0.0942
ICJ  0.0953
IM1  0.0953
I14  0.0957
IBB  0.0958
IXE  0.0959
ID3  0.0964
I0D  0.0975
IQ6  0.0976
IW6  0.0979
IQL  0.0980
IBA  0.0984
IP6  0.0985
I7C  0.0992
IQB  0.0993
