MCE  0.0152
MZY  0.0191
MEB  0.0192
MCB  0.0193
MBN  0.0198
MNC  0.0226
MR3  0.0246
MML  0.0247
M4A  0.0251
MWJ  0.0280
MZG  0.0286
MAQ  0.0290
MBD  0.0304
MSM  0.0304
MQN  0.0310
M3T  0.0314
MAS  0.0327
MCT  0.0329
MBA  0.0332
MEW  0.0346
M0W  0.0354
MTF  0.0358
MWM  0.0366
M5K  0.0369
M0Q  0.0380
MFZ  0.0391
MCH  0.0393
MWP  0.0394
MVN  0.0395
MKV  0.0398
MY6  0.0413
MOE  0.0417
MCM  0.0418
MT0  0.0420
MB8  0.0426
MW7  0.0438
MR6  0.0445
MBR  0.0446
M1E  0.0449
MMZ  0.0451
MR4  0.0457
MPB  0.0467
MZZ  0.0467
MIB  0.0477
M1H  0.0478
MO8  0.0485
MQO  0.0486
MPI  0.0489
M6N  0.0490
MUX  0.0497
M2H  0.0503
MOG  0.0506
M42  0.0510
MR5  0.0510
MPS  0.0512
MHD  0.0513
MSH  0.0518
MXE  0.0523
MS9  0.0534
MEC  0.0545
M4D  0.0549
MYJ  0.0552
M8D  0.0557
MR1  0.0560
ME7  0.0567
ME9  0.0568
MSR  0.0571
MUA  0.0578
MHW  0.0581
M1A  0.0589
ML2  0.0590
MYT  0.0591
MZX  0.0591
MMU  0.0594
MES  0.0596
MJ5  0.0601
M02  0.0603
MSB  0.0605
M01  0.0612
M3I  0.0612
M21  0.0616
MBL  0.0616
M5H  0.0620
M4E  0.0621
MFE  0.0627
M16  0.0636
MHH  0.0643
M23  0.0646
M5N  0.0651
MLO  0.0652
M54  0.0657
MW5  0.0657
MM0  0.0665
MW0  0.0677
MAJ  0.0680
MYS  0.0680
MRD  0.0684
MQ1  0.0686
MVW  0.0686
MVK  0.0693
M68  0.0702
MAZ  0.0702
M6Z  0.0708
MCV  0.0708
MH9  0.0716
M96  0.0725
MDF  0.0726
MFR  0.0729
MLW  0.0731
MIO  0.0733
MS2  0.0734
MP6  0.0735
MOI  0.0739
M48  0.0743
MJ2  0.0745
MNY  0.0745
M92  0.0747
MXQ  0.0749
MHN  0.0750
M94  0.0751
ME2  0.0751
M62  0.0753
M3F  0.0754
MRY  0.0758
M6W  0.0767
MD2  0.0773
MZC  0.0778
M46  0.0779
MUP  0.0783
MUE  0.0784
MRO  0.0788
MQC  0.0795
M4S  0.0800
MQU  0.0800
MQV  0.0805
MKN  0.0806
MMW  0.0811
MQ7  0.0812
MIH  0.0815
MH6  0.0816
M7K  0.0819
MSJ  0.0822
M0Z  0.0823
M58  0.0823
MHR  0.0828
M85  0.0834
ML1  0.0837
M25  0.0838
M87  0.0839
MMG  0.0840
MVL  0.0841
MQ8  0.0846
M2K  0.0848
M0A  0.0853
MH8  0.0853
M2M  0.0854
MPO  0.0860
M59  0.0861
M9A  0.0862
MQD  0.0863
M4R  0.0864
ML6  0.0864
MQ9  0.0864
MUJ  0.0866
MEU  0.0869
M5J  0.0870
MPW  0.0874
M5F  0.0878
M9B  0.0881
MAM  0.0883
M3W  0.0884
M0J  0.0886
MZK  0.0887
M1B  0.0889
MNM  0.0889
MCW  0.0892
MZW  0.0899
M4U  0.0901
MKC  0.0901
MKW  0.0901
MFD  0.0903
MKS  0.0905
MP8  0.0913
MQE  0.0913
MCZ  0.0914
MPG  0.0916
MUF  0.0916
MKD  0.0917
MOY  0.0924
MIZ  0.0925
MY7  0.0929
MC5  0.0931
M39  0.0932
MNN  0.0934
MCG  0.0938
MPD  0.0940
M0T  0.0944
MGI  0.0944
M5V  0.0946
MXN  0.0948
MKU  0.0951
MWS  0.0952
M0Y  0.0953
MXT  0.0958
MXA  0.0961
MZN  0.0962
MBU  0.0964
ML3  0.0965
MSN  0.0975
MFH  0.0978
MKT  0.0978
MT3  0.0979
MPA  0.0982
MZQ  0.0982
MB9  0.0984
MZJ  0.0984
MFG  0.0986
MA0  0.0991
MV2  0.0991
MZ5  0.0992
MXX  0.0993
MK8  0.0994
MPK  0.0994
M9Z  0.0995
MUN  0.0997
M7O  0.0999
M8Z  0.1001
MDN  0.1001
MTG  0.1001
MJP  0.1002
M8G  0.1004
MT6  0.1010
MQY  0.1013
MPV  0.1018
MZB  0.1018
MUK  0.1021
M0M  0.1023
MI0  0.1023
MR2  0.1024
MH5  0.1028
M06  0.1032
MLL  0.1032
MR9  0.1032
M1W  0.1036
MN8  0.1042
MXI  0.1043
MK5  0.1044
M3J  0.1045
MPU  0.1049
MVD  0.1049
MB0  0.1050
MV4  0.1053
MHU  0.1054
MCR  0.1056
M7Y  0.1059
MDO  0.1066
M40  0.1067
M29  0.1069
MLP  0.1075
M95  0.1076
MP7  0.1080
MMJ  0.1083
MPC  0.1083
M4J  0.1086
M0V  0.1096
MM3  0.1097
MI4  0.1098
M97  0.1102
MVQ  0.1103
MBY  0.1106
MQM  0.1106
M2Z  0.1110
MSQ  0.1112
MG7  0.1113
MSF  0.1116
M0S  0.1119
MU5  0.1119
MAO  0.1120
MSI  0.1120
MN7  0.1124
MD4  0.1126
MLY  0.1130
MOL  0.1130
M3H  0.1131
M9S  0.1131
MNG  0.1135
MTI  0.1136
MAK  0.1139
MVC  0.1139
M9E  0.1140
MBB  0.1142
MHT  0.1142
MF2  0.1143
M8N  0.1144
ML8  0.1145
MFY  0.1149
MOZ  0.1154
MVT  0.1154
M9Y  0.1155
M0P  0.1162
MZO  0.1166
MIF  0.1167
MIS  0.1168
MXM  0.1168
MTS  0.1171
M0K  0.1176
MTP  0.1177
MF8  0.1180
MSG  0.1186
M9H  0.1192
MYF  0.1199
M2S  0.1200
MD7  0.1200
MZ7  0.1200
M1J  0.1201
MU6  0.1201
M8Y  0.1203
MJQ  0.1207
M1T  0.1212
MPX  0.1214
MTA  0.1214
M98  0.1215
M6A  0.1216
M17  0.1217
MP4  0.1217
MI2  0.1223
MVG  0.1224
MOJ  0.1234
MJD  0.1235
MC9  0.1237
MZ1  0.1237
MI1  0.1240
MLQ  0.1241
MZA  0.1246
M8M  0.1249
MK9  0.1249
MEX  0.1251
M4T  0.1252
MWA  0.1253
M5W  0.1256
MWW  0.1256
M8B  0.1261
MDS  0.1261
MYB  0.1262
MH4  0.1266
MOK  0.1267
MJB  0.1269
MKQ  0.1269
MTH  0.1271
MSL  0.1273
MAY  0.1275
M61  0.1278
MMH  0.1278
M8Q  0.1281
MZV  0.1281
M5Y  0.1282
M82  0.1282
MY9  0.1282
MF5  0.1283
MKP  0.1290
MKH  0.1293
MK3  0.1296
MY8  0.1296
M9P  0.1302
M08  0.1303
MKB  0.1303
M3L  0.1306
MT5  0.1307
MXP  0.1310
M33  0.1313
MK6  0.1313
MON  0.1313
MHO  0.1317
MZR  0.1318
MHQ  0.1321
MHZ  0.1324
MYX  0.1326
M07  0.1329
MWV  0.1330
MS7  0.1331
MJU  0.1333
M86  0.1335
MUW  0.1336
M7S  0.1337
MKK  0.1339
M77  0.1340
MA9  0.1343
M0D  0.1344
MSC  0.1344
MB1  0.1346
MBK  0.1346
MX8  0.1347
MAX  0.1352
M6Y  0.1356
MZ9  0.1357
M1S  0.1358
M5Z  0.1360
ML9  0.1360
MPQ  0.1365
MGZ  0.1369
M13  0.1372
MOR  0.1372
MZL  0.1375
MIG  0.1376
MSY  0.1376
M8S  0.1384
M90  0.1384
MBS  0.1386
MST  0.1388
M3A  0.1390
M78  0.1390
M2G  0.1395
MBX  0.1396
MC3  0.1397
MLH  0.1397
MGX  0.1402
MFJ  0.1411
MG2  0.1415
MSD  0.1419
MVY  0.1425
MLU  0.1426
MS5  0.1427
MFQ  0.1431
MD8  0.1434
MMD  0.1440
MP2  0.1441
MFP  0.1444
MPZ  0.1444
MNI  0.1446
MQA  0.1448
MJH  0.1450
MTY  0.1451
MRN  0.1454
M8V  0.1456
MIX  0.1457
MTW  0.1462
MKR  0.1463
MT4  0.1464
M7R  0.1466
MU0  0.1467
M9Q  0.1473
M91  0.1474
MKZ  0.1474
MS6  0.1477
M4H  0.1478
MIN  0.1479
MB3  0.1482
M1C  0.1483
MMS  0.1484
MUU  0.1484
MFV  0.1486
MOF  0.1487
MU1  0.1489
MG0  0.1495
M6Q  0.1499
M14  0.1500
M7H  0.1502
MQS  0.1503
MXB  0.1507
MW4  0.1508
MEK  0.1514
MSZ  0.1515
MYC  0.1517
MJG  0.1518
MEJ  0.1520
MNB  0.1522
MPJ  0.1526
MZ6  0.1539
MIL  0.1542
M2N  0.1550
MYE  0.1551
MUH  0.1554
MFX  0.1558
MF1  0.1560
M3K  0.1561
M3D  0.1562
MYN  0.1562
MMQ  0.1563
M41  0.1565
