RRA  0.0112
RVV  0.0224
R4W  0.0266
RCO  0.0303
RBJ  0.0367
ROP  0.0391
RP7  0.0399
R9W  0.0416
R8V  0.0438
RTH  0.0461
RW1  0.0481
RCW  0.0491
RKT  0.0492
R0M  0.0500
RSO  0.0502
RE2  0.0503
RB7  0.0510
R20  0.0521
R8A  0.0524
RYD  0.0531
R4E  0.0543
RV1  0.0560
RIM  0.0571
RYM  0.0576
RKN  0.0580
RGK  0.0586
RYP  0.0586
RCQ  0.0609
RXA  0.0609
R7T  0.0623
REF  0.0624
RJ5  0.0627
RZN  0.0634
RRO  0.0640
RWS  0.0643
RCM  0.0655
RJ8  0.0660
R8S  0.0676
RP8  0.0683
RJN  0.0691
R2J  0.0692
R3S  0.0692
RE4  0.0699
RK4  0.0702
RCI  0.0708
RSF  0.0711
RHZ  0.0715
RZS  0.0719
RHT  0.0720
RO5  0.0720
R16  0.0721
RM1  0.0721
RNO  0.0721
RHN  0.0728
RHW  0.0731
R41  0.0737
ROE  0.0747
RX7  0.0747
R1E  0.0748
RS7  0.0751
RPQ  0.0753
R2H  0.0755
RCV  0.0758
RK5  0.0762
ROD  0.0763
RSG  0.0765
RFX  0.0769
RS4  0.0777
RAS  0.0779
RXS  0.0779
RQP  0.0783
RIN  0.0784
RN1  0.0795
R6E  0.0799
R6T  0.0802
RLA  0.0808
REG  0.0810
R18  0.0812
RJY  0.0814
RNB  0.0814
RTW  0.0816
R62  0.0819
RNM  0.0819
RGN  0.0820
RIL  0.0822
RKH  0.0824
R9P  0.0825
RAZ  0.0825
R8Q  0.0829
RRG  0.0829
R15  0.0832
RJE  0.0837
RRH  0.0842
RGL  0.0844
R9Y  0.0849
ROK  0.0855
RD4  0.0856
R67  0.0858
RB0  0.0858
ROG  0.0862
R3P  0.0863
RAY  0.0871
RX8  0.0871
R9V  0.0874
RVZ  0.0875
RVC  0.0878
RNK  0.0879
RSK  0.0879
RCX  0.0880
RVW  0.0886
RVI  0.0891
RNZ  0.0892
REB  0.0900
RNE  0.0901
RRK  0.0905
RV8  0.0907
RI5  0.0912
RG2  0.0914
ROU  0.0915
RXG  0.0915
RD0  0.0918
R00  0.0920
RT2  0.0922
RB1  0.0923
REN  0.0923
R6B  0.0924
RS2  0.0924
RBP  0.0926
RLW  0.0932
RND  0.0932
REV  0.0933
RGM  0.0934
RO0  0.0937
R58  0.0941
RCK  0.0942
RJ7  0.0942
RKE  0.0942
RVD  0.0943
RTK  0.0951
ROA  0.0952
R7S  0.0954
RGI  0.0954
RC8  0.0955
RH2  0.0960
ROS  0.0961
RYU  0.0961
R57  0.0962
RA7  0.0965
RL1  0.0967
R5Z  0.0968
R3V  0.0969
R4J  0.0971
RRW  0.0975
R9T  0.0976
RUY  0.0976
RZG  0.0976
R74  0.0979
RUF  0.0979
RZJ  0.0981
RNP  0.0984
RSX  0.0986
RJJ  0.0987
RWZ  0.0989
R6N  0.0994
R09  0.0995
RXQ  0.0996
R11  0.1001
R4M  0.1003
R4H  0.1005
RXT  0.1006
RO9  0.1010
R8P  0.1012
RQY  0.1012
R6S  0.1015
RJW  0.1016
RWP  0.1017
RAV  0.1019
RWY  0.1023
RZK  0.1025
RD8  0.1027
RPJ  0.1030
RDH  0.1031
R6P  0.1034
RHV  0.1038
RTE  0.1040
RTL  0.1040
RMG  0.1041
ROV  0.1041
R9B  0.1044
RPH  0.1045
RE7  0.1046
RHB  0.1049
RVE  0.1049
RWF  0.1049
R6V  0.1051
R26  0.1056
R12  0.1057
RCF  0.1057
R2C  0.1061
RM0  0.1062
RMM  0.1064
RTF  0.1065
RJ2  0.1067
RA5  0.1070
RUE  0.1076
RH7  0.1080
RN5  0.1088
RDE  0.1092
R9K  0.1093
RF7  0.1094
RTM  0.1095
RPM  0.1101
RVA  0.1101
RRB  0.1102
RKJ  0.1103
R6K  0.1105
RBS  0.1111
R21  0.1112
RMC  0.1112
RKZ  0.1114
RKQ  0.1120
RNJ  0.1122
R4K  0.1123
R8H  0.1128
R0Z  0.1129
RKD  0.1131
RFZ  0.1151
RDS  0.1161
RKK  0.1176
RM8  0.1176
RJZ  0.1177
R8W  0.1180
R72  0.1182
RFG  0.1186
RO2  0.1187
R6Q  0.1191
RK1  0.1191
RBV  0.1193
RMZ  0.1193
RUZ  0.1193
RMS  0.1196
R48  0.1202
R5Y  0.1212
RJR  0.1212
RF1  0.1213
R8B  0.1218
RRC  0.1218
R86  0.1219
RFN  0.1219
RP4  0.1221
R2V  0.1228
RA2  0.1230
RN7  0.1230
R3Z  0.1232
RRQ  0.1232
RH4  0.1236
RKW  0.1239
R4T  0.1242
RHG  0.1242
RWB  0.1256
R0E  0.1258
RU4  0.1258
R23  0.1260
RDV  0.1264
RO6  0.1265
RQV  0.1267
RNW  0.1269
RYW  0.1273
R6C  0.1275
RMV  0.1275
RYG  0.1280
RZA  0.1280
R28  0.1281
RUV  0.1281
RUP  0.1284
RY5  0.1284
RU6  0.1285
RM7  0.1286
RJ1  0.1288
RU9  0.1288
RQD  0.1289
RV5  0.1291
R49  0.1293
RZ4  0.1301
REM  0.1302
R39  0.1304
R97  0.1310
RLV  0.1311
RET  0.1319
RV4  0.1319
RQN  0.1322
RW3  0.1322
RMJ  0.1327
R9J  0.1328
R7B  0.1330
R22  0.1334
RGZ  0.1334
R6G  0.1338
RN4  0.1339
RU5  0.1341
RX0  0.1343
RIT  0.1354
RHO  0.1363
RAJ  0.1364
R2S  0.1366
R6Z  0.1369
RXY  0.1369
RPN  0.1370
RQ1  0.1371
RZX  0.1375
R5S  0.1376
ROL  0.1379
R13  0.1380
RP1  0.1381
RM5  0.1382
R70  0.1392
RGY  0.1392
RSZ  0.1394
RC5  0.1399
RB8  0.1404
RQ0  0.1404
R7Y  0.1406
RYN  0.1409
RAR  0.1411
REW  0.1411
RLS  0.1411
RG4  0.1413
R8C  0.1415
R7M  0.1419
RLY  0.1420
RT0  0.1422
R85  0.1427
RB2  0.1427
RDF  0.1432
R4N  0.1433
R34  0.1440
RAB  0.1442
RTD  0.1442
R8N  0.1447
RDY  0.1447
R36  0.1449
ROI  0.1454
ROM  0.1468
RWD  0.1469
RA9  0.1471
RBE  0.1471
R24  0.1472
R9Q  0.1482
RTX  0.1482
RUN  0.1482
RAK  0.1484
RD7  0.1487
R9G  0.1503
RPF  0.1508
RWH  0.1510
RSH  0.1514
RGJ  0.1518
RBW  0.1520
RXZ  0.1523
R93  0.1524
RMR  0.1530
RDL  0.1532
R6W  0.1534
ROJ  0.1534
R37  0.1538
R5I  0.1540
R83  0.1540
R2Y  0.1543
RC2  0.1543
R0B  0.1544
RK7  0.1548
RF3  0.1549
R7Z  0.1554
R78  0.1555
RT8  0.1558
R2E  0.1560
RYJ  0.1561
R77  0.1563
RDC  0.1564
R81  0.1565
R91  0.1565
RQH  0.1565
R1S  0.1568
RDM  0.1569
RLL  0.1571
RLG  0.1576
RLJ  0.1586
RP2  0.1587
R94  0.1595
RPO  0.1600
RQS  0.1601
R75  0.1602
R64  0.1604
RTN  0.1611
RPR  0.1613
RCP  0.1615
RTZ  0.1618
RUT  0.1618
RZ1  0.1620
RNH  0.1625
RYY  0.1636
R7J  0.1638
RGW  0.1638
RBT  0.1639
RCJ  0.1642
ROF  0.1643
RXP  0.1643
R3W  0.1645
RHS  0.1650
RW4  0.1650
RQW  0.1651
RDJ  0.1652
RV2  0.1654
RQT  0.1658
RFE  0.1664
R7I  0.1666
R7D  0.1673
RZ0  0.1687
R05  0.1689
RCA  0.1697
RY8  0.1702
RSV  0.1705
RI9  0.1706
RQ4  0.1708
R55  0.1715
RPV  0.1716
RZ5  0.1716
RPT  0.1722
RQQ  0.1725
RYA  0.1731
R2Q  0.1732
R5T  0.1738
RE1  0.1738
RKS  0.1738
RFP  0.1739
RO4  0.1754
RLK  0.1758
R14  0.1772
R8G  0.1782
RLM  0.1785
R96  0.1786
R9S  0.1786
RKA  0.1792
RQA  0.1792
R4P  0.1793
R92  0.1803
R61  0.1805
RZ8  0.1808
RA8  0.1809
R4C  0.1812
R69  0.1812
RTJ  0.1812
R4B  0.1814
R44  0.1815
R31  0.1824
RUM  0.1829
RYZ  0.1833
RMY  0.1838
RXE  0.1846
RXJ  0.1846
RVB  0.1853
RS8  0.1861
RAG  0.1867
RIO  0.1869
RCN  0.1876
RRS  0.1878
RCB  0.1882
RB9  0.1886
R6D  0.1887
RXH  0.1889
ROY  0.1891
RYX  0.1899
RZB  0.1899
RQX  0.1901
RTQ  0.1903
R5X  0.1904
ROC  0.1904
RB4  0.1908
RPB  0.1909
RFL  0.1924
RNV  0.1924
RA4  0.1937
RBF  0.1938
R0D  0.1944
RAI  0.1948
RQJ  0.1954
RYV  0.1961
RSY  0.1964
R2W  0.1976
R5G  0.1987
RIV  0.2007
RQ7  0.2010
RBQ  0.2019
RT7  0.2021
RMN  0.2031
R38  0.2041
RGV  0.2061
RGP  0.2065
R3N  0.2068
REZ  0.2076
R1W  0.2082
RA1  0.2088
RNG  0.2095
RT3  0.2133
RIS  0.2156
R68  0.2160
RF9  0.2162
RC0  0.2168
R3Y  0.2199
RB6  0.2207
RSB  0.2213
RXM  0.2219
RMQ  0.2244
RE5  0.2262
REA  0.2264
RQZ  0.2273
RZE  0.2294
RDA  0.2296
RIE  0.2327
R7H  0.2328
R82  0.2331
RF4  0.2354
R30  0.2358
RKG  0.2377
R2A  0.2388
RYE  0.2395
RAC  0.2412
RHY  0.2418
RGC  0.2427
RI8  0.2445
RXN  0.2461
RSM  0.2462
RAL  0.2470
RQG  0.2470
RPG  0.2471
RH0  0.2477
RR1  0.2502
RL2  0.2519
RJ4  0.2522
R4G  0.2544
RVN  0.2571
RCC  0.2601
RE8  0.2623
RVJ  0.2624
RJP  0.2626
RSN  0.2631
REY  0.2667
RZ7  0.2688
RNR  0.2696
REX  0.2716
RXD  0.2748
R2P  0.2755
R2T  0.2761
R7Q  0.2766
RS1  0.2829
R3X  0.2885
R99  0.2899
RA0  0.2908
RDD  0.2910
R59  0.2944
RB3  0.3017
RWM  0.3045
RJQ  0.3062
R5V  0.3083
R3A  0.3100
RJA  0.3115
RPI  0.3141
RLP  0.3144
RSS  0.3183
R8J  0.3201
R3B  0.3233
R27  0.3241
R3E  0.3270
RR8  0.3285
RL3  0.3373
R45  0.3374
RX4  0.3467
R47  0.3472
RX3  0.3507
RJB  0.3562
RRZ  0.3585
R0N  0.3688
RT1  0.3725
RTY  0.3837
R84  0.3877
RGS  0.3891
RCL  0.3991
RZV  0.4079
RF8  0.4162
RKY  0.4223
RY4  0.4274
RJ6  0.4290
REC  0.4336
R1V  0.4481
R35  0.4500
R2D  0.4507
RVX  0.4557
R9M  0.4746
RRT  0.4796
R8Y  0.5486
RUJ  0.5547
ROQ  0.6322
RXK  0.6445
