T2W  0.0000
TOU  0.0154
TME  0.0171
TRI  0.0198
TB0  0.0210
TAN  0.0228
TAU  0.0242
TSM  0.0259
TBU  0.0285
T5V  0.0297
TN1  0.0328
THA  0.0335
TUL  0.0344
TBF  0.0345
TH0  0.0347
TR2  0.0351
TSU  0.0355
TAY  0.0358
TIU  0.0370
TDR  0.0373
TI9  0.0385
TCV  0.0406
TLD  0.0413
TM7  0.0413
TCZ  0.0422
TZF  0.0434
TMA  0.0441
T0A  0.0449
TC7  0.0467
TID  0.0467
TZL  0.0471
TMM  0.0488
TBP  0.0493
T6C  0.0497
TCA  0.0501
TI7  0.0504
TQE  0.0509
T9S  0.0515
TEP  0.0516
TNZ  0.0517
TVC  0.0517
TA5  0.0535
TMZ  0.0541
TM4  0.0561
TAQ  0.0564
TLQ  0.0569
T2H  0.0575
TA2  0.0583
TPL  0.0585
T50  0.0587
TI4  0.0589
TBT  0.0605
TRD  0.0607
TQ3  0.0615
TP0  0.0619
TMT  0.0628
TMH  0.0630
T2V  0.0632
TKH  0.0633
TSC  0.0637
TXW  0.0637
TKT  0.0640
TE5  0.0641
TTL  0.0641
TYE  0.0642
TK4  0.0643
TOB  0.0644
TCF  0.0651
TPM  0.0652
TDI  0.0653
TRM  0.0658
T9G  0.0660
T9Z  0.0662
T9V  0.0664
TJ8  0.0664
TQK  0.0668
TAM  0.0672
TSZ  0.0679
TVW  0.0691
TWO  0.0691
T3Y  0.0696
TOQ  0.0704
TN5  0.0714
TPA  0.0716
TCU  0.0727
T3W  0.0732
TZE  0.0736
TLK  0.0737
T28  0.0738
TRS  0.0743
TWB  0.0743
T1J  0.0747
TOP  0.0748
T9Y  0.0751
TCM  0.0751
TOF  0.0755
TCL  0.0757
TCI  0.0758
TJ5  0.0759
TXQ  0.0761
THJ  0.0764
THO  0.0765
TTQ  0.0772
T3O  0.0774
TFS  0.0776
TUE  0.0776
TFB  0.0780
TNK  0.0780
T5G  0.0785
TMG  0.0786
T1B  0.0792
TR7  0.0793
TB8  0.0798
TCT  0.0798
T21  0.0802
T4M  0.0804
TMU  0.0807
T0H  0.0816
TLS  0.0819
TP5  0.0833
TRR  0.0838
TNL  0.0840
T07  0.0842
TF5  0.0843
TFM  0.0843
TOK  0.0853
THI  0.0856
TEE  0.0857
T8A  0.0859
TH4  0.0861
T73  0.0862
T9B  0.0862
TW2  0.0866
TUC  0.0868
TSI  0.0872
TH8  0.0873
TTC  0.0873
T90  0.0874
TPK  0.0890
TN2  0.0892
T56  0.0898
T62  0.0900
TYL  0.0905
TK9  0.0907
TRF  0.0907
T8Y  0.0909
T0V  0.0911
TOE  0.0914
TUB  0.0914
TE8  0.0917
TJB  0.0921
TEA  0.0922
T3T  0.0926
TS6  0.0930
T6J  0.0931
TER  0.0931
T14  0.0935
TZ2  0.0935
T0S  0.0939
TRN  0.0940
TAX  0.0941
TEJ  0.0945
TIG  0.0946
TQU  0.0948
TT2  0.0948
TXF  0.0950
T45  0.0951
T30  0.0953
T5J  0.0954
TEG  0.0957
TTB  0.0958
T7O  0.0962
TRQ  0.0964
T3A  0.0965
TIC  0.0967
T9J  0.0974
T9Q  0.0976
TQS  0.0976
TTG  0.0976
T2B  0.0978
TA7  0.0979
T0W  0.0982
T94  0.0982
TDU  0.0982
TEI  0.0983
T2Z  0.0992
TUQ  0.0993
T4Z  0.0997
TWT  0.1000
TA9  0.1007
TC8  0.1015
TQX  0.1015
TCO  0.1017
T1K  0.1019
TZC  0.1019
TTT  0.1020
T40  0.1021
TB6  0.1022
TK2  0.1023
TON  0.1024
TO2  0.1029
TU3  0.1030
TC9  0.1035
TFL  0.1037
TXC  0.1037
TV2  0.1040
T1S  0.1041
TES  0.1041
TCW  0.1042
TL3  0.1045
TVQ  0.1046
T4Q  0.1047
T2Y  0.1052
TIA  0.1053
TN8  0.1055
TFX  0.1056
T08  0.1057
TLH  0.1061
TRO  0.1061
T3J  0.1063
TMJ  0.1065
TN6  0.1068
TRT  0.1069
TJ4  0.1070
TQ4  0.1070
TZ0  0.1074
TQI  0.1076
TJK  0.1077
TU2  0.1077
TDF  0.1078
TY0  0.1078
TQ2  0.1079
TKN  0.1080
TL4  0.1080
TZN  0.1088
T1W  0.1094
T1V  0.1095
T0Y  0.1097
TQ9  0.1097
TGX  0.1099
TR9  0.1099
TKP  0.1103
TYZ  0.1105
T2J  0.1106
TSX  0.1106
TWH  0.1106
T1D  0.1109
TRY  0.1111
TSH  0.1111
TWZ  0.1114
TKD  0.1116
TU8  0.1118
TLZ  0.1121
T2G  0.1122
TQH  0.1125
TYP  0.1129
TEF  0.1136
TMI  0.1138
TJG  0.1140
TOH  0.1141
T7Y  0.1142
TY2  0.1142
T8S  0.1148
TDS  0.1148
T3M  0.1149
TK3  0.1149
TZM  0.1149
T7A  0.1150
T80  0.1150
TTF  0.1152
TBJ  0.1154
TEN  0.1154
TLX  0.1154
T8P  0.1161
TEQ  0.1162
TFV  0.1162
TE4  0.1164
TR6  0.1165
TMQ  0.1166
TU1  0.1168
T5M  0.1170
TH9  0.1174
T6Z  0.1176
TGD  0.1178
TGJ  0.1179
T3N  0.1181
TQA  0.1182
TLF  0.1191
TM8  0.1197
TQL  0.1199
TKA  0.1200
TRJ  0.1206
T4F  0.1207
TBZ  0.1207
TKB  0.1207
TYB  0.1207
T5F  0.1212
TYN  0.1216
TW8  0.1217
TDZ  0.1219
T1Y  0.1221
TO4  0.1224
T2Q  0.1230
THZ  0.1234
TQW  0.1234
TNT  0.1235
TKJ  0.1237
TT4  0.1239
TYI  0.1240
T9K  0.1242
TIM  0.1245
TG4  0.1246
TQT  0.1247
T87  0.1249
THU  0.1251
TGS  0.1252
TQ5  0.1258
TL1  0.1261
TYT  0.1264
TM3  0.1272
T2R  0.1273
T1Q  0.1275
TTX  0.1275
T67  0.1276
THE  0.1277
T1R  0.1278
TCK  0.1279
TVB  0.1279
TWV  0.1279
TCX  0.1282
TMD  0.1283
TIQ  0.1286
TKV  0.1288
TNC  0.1292
TJH  0.1293
TPF  0.1296
TSQ  0.1298
TAB  0.1300
TO1  0.1300
TO7  0.1301
T7G  0.1305
T12  0.1307
TWM  0.1307
TXI  0.1307
TFA  0.1310
TX3  0.1310
TE2  0.1313
THK  0.1316
TKS  0.1320
TBA  0.1321
T47  0.1323
TQ8  0.1325
TG0  0.1328
TUT  0.1331
TZW  0.1331
TUS  0.1336
TQ6  0.1337
TCD  0.1341
TXS  0.1341
TNQ  0.1342
TUD  0.1343
TBG  0.1346
TCH  0.1346
TQ7  0.1346
T5Z  0.1348
TN3  0.1348
TKQ  0.1349
TIH  0.1351
TL2  0.1356
TAK  0.1361
T20  0.1364
TMC  0.1364
TGW  0.1366
TP2  0.1371
T7W  0.1372
T65  0.1376
TDE  0.1379
TXY  0.1384
T9H  0.1386
T6H  0.1387
TBN  0.1391
TFJ  0.1394
T9A  0.1395
T1H  0.1399
T9P  0.1401
T7S  0.1403
TV8  0.1403
TFD  0.1406
TF8  0.1410
TVZ  0.1410
TJ2  0.1412
TKE  0.1415
TMS  0.1415
T18  0.1418
TZK  0.1419
T13  0.1420
TG3  0.1424
THT  0.1426
TUV  0.1430
TBH  0.1434
TYX  0.1436
T98  0.1440
T0R  0.1442
T92  0.1444
TSN  0.1444
T24  0.1445
TOZ  0.1446
T52  0.1448
T7D  0.1448
T5W  0.1451
TII  0.1458
TWP  0.1463
TWS  0.1466
T5N  0.1467
T8L  0.1473
TFR  0.1475
T27  0.1476
T5T  0.1478
TZ8  0.1481
T7X  0.1483
TD1  0.1484
TYA  0.1486
T11  0.1493
T6N  0.1501
TI1  0.1504
T4G  0.1508
TZQ  0.1508
T4H  0.1509
TUA  0.1509
T76  0.1511
TYW  0.1513
T53  0.1514
TV1  0.1515
TND  0.1520
T06  0.1521
T1O  0.1526
TEV  0.1528
TXE  0.1529
TDV  0.1531
TV7  0.1533
TF3  0.1535
TYF  0.1538
TY9  0.1539
TNH  0.1542
TQD  0.1543
TWL  0.1543
TCC  0.1545
T1Z  0.1549
TZV  0.1552
TVU  0.1558
TIN  0.1560
TH5  0.1562
TB5  0.1566
TIS  0.1571
T34  0.1572
TJ1  0.1574
TN4  0.1574
T3H  0.1575
TZT  0.1577
TGE  0.1578
T3S  0.1583
TRK  0.1587
T5Q  0.1588
TJE  0.1588
TEH  0.1592
TYS  0.1592
TZY  0.1601
TOD  0.1604
T3C  0.1609
TLV  0.1611
T4T  0.1613
T4N  0.1616
TZZ  0.1617
T6Y  0.1619
T15  0.1622
TRU  0.1623
T05  0.1625
TPB  0.1627
TSB  0.1628
T10  0.1631
THC  0.1635
TA4  0.1639
TFP  0.1639
T95  0.1644
TUM  0.1644
T6M  0.1649
T6S  0.1650
TUK  0.1651
TOV  0.1653
T4E  0.1654
TAO  0.1661
TNN  0.1663
TQJ  0.1665
TTY  0.1672
T0J  0.1673
TY4  0.1673
TXD  0.1676
TK5  0.1681
T4V  0.1684
TUH  0.1692
TGL  0.1693
T77  0.1696
T9D  0.1696
TXL  0.1700
TMY  0.1710
TUI  0.1721
T2M  0.1722
TFG  0.1725
TSF  0.1727
TUX  0.1733
T86  0.1734
TW5  0.1736
TI3  0.1740
T75  0.1750
TFZ  0.1755
T0I  0.1769
TR0  0.1775
TOY  0.1778
T6E  0.1791
T2D  0.1797
TFK  0.1797
T7V  0.1802
T2E  0.1807
TYY  0.1809
TYG  0.1814
T0E  0.1820
TB7  0.1820
TB2  0.1825
TFQ  0.1826
TVT  0.1826
TPO  0.1830
TBI  0.1831
TK1  0.1835
TFN  0.1839
TDH  0.1842
TRW  0.1842
T5E  0.1843
T4D  0.1851
TX7  0.1854
TIZ  0.1872
TIF  0.1873
TAV  0.1875
TWE  0.1885
TZB  0.1891
TKY  0.1896
T35  0.1897
T51  0.1899
TF2  0.1900
TWQ  0.1902
T97  0.1906
TLO  0.1913
T02  0.1916
T1M  0.1917
TUO  0.1922
TRL  0.1931
T8X  0.1937
TY8  0.1937
TNW  0.1945
TG7  0.1961
TLY  0.1979
T3Q  0.1985
T5D  0.1990
TOW  0.1990
T9E  0.1991
TGV  0.1995
TNB  0.2000
TYO  0.2004
TIT  0.2017
T44  0.2018
T3K  0.2020
T61  0.2021
TL8  0.2021
TEO  0.2022
TO8  0.2023
TOT  0.2030
TG5  0.2033
TOL  0.2046
TH6  0.2054
TA1  0.2057
T81  0.2059
TI2  0.2067
TYQ  0.2068
THN  0.2085
TU7  0.2087
T3V  0.2092
TNG  0.2099
TTN  0.2099
TGB  0.2117
TC0  0.2119
TQB  0.2120
TNE  0.2123
T00  0.2145
T9M  0.2154
T3G  0.2223
TL7  0.2230
T84  0.2231
T46  0.2237
TOR  0.2244
T4Y  0.2250
TKK  0.2254
TXX  0.2259
T88  0.2260
TFI  0.2265
TQZ  0.2267
TJ3  0.2274
TX1  0.2278
TBV  0.2282
TEB  0.2293
T8N  0.2296
TDX  0.2305
TNY  0.2306
TPI  0.2312
TR3  0.2312
TTJ  0.2316
T4W  0.2325
TST  0.2344
TJ7  0.2346
TPE  0.2367
TH7  0.2378
TET  0.2389
T4B  0.2406
TBL  0.2407
TPR  0.2451
TJV  0.2477
TV4  0.2484
T22  0.2492
TDD  0.2493
T5B  0.2510
TXG  0.2527
TDO  0.2548
T82  0.2552
TGM  0.2556
TSR  0.2562
TGF  0.2564
TEM  0.2571
THS  0.2578
TO5  0.2597
TLW  0.2599
TTE  0.2682
TVA  0.2687
TPY  0.2698
TBE  0.2705
TAJ  0.2724
T8J  0.2742
T8G  0.2762
TO3  0.2791
TGG  0.2798
TLA  0.2832
TGH  0.2833
T8V  0.2837
TAH  0.2845
TNF  0.2864
TPX  0.2874
TYJ  0.2904
T5A  0.2907
TB1  0.2923
TNS  0.2929
TR4  0.2953
T8M  0.2981
TAR  0.2985
TTW  0.3023
T4J  0.3028
T9W  0.3094
TVN  0.3107
TEK  0.3117
TSL  0.3143
TKZ  0.3155
TLT  0.3251
T6K  0.3269
TGQ  0.3285
TSA  0.3290
T58  0.3292
T3F  0.3317
TCR  0.3322
TUN  0.3350
T5H  0.3376
THG  0.3383
TE1  0.3388
TP3  0.3414
TH2  0.3418
T72  0.3467
TT1  0.3478
T26  0.3482
TAD  0.3521
T04  0.3551
T2K  0.3562
TGN  0.3584
TC2  0.3592
TK8  0.3603
TMF  0.3606
TF7  0.3627
T4A  0.3677
TJM  0.3683
THF  0.3775
T25  0.3816
TQM  0.3878
TS9  0.3881
TRA  0.3961
TDA  0.3980
TQG  0.4058
TZG  0.4133
TP4  0.4545
TJY  0.4776
T55  0.4823
TJS  0.4880
T1N  0.4993
TF4  0.4995
TA8  0.5185
TNA  0.5214
T66  0.5368
TSE  0.5474
TRC  0.6598
TCE  0.7193
TPN  0.7672
