XBZ  0.0261
XYD  0.0274
XJM  0.0304
XQM  0.0319
XGV  0.0320
XU1  0.0321
XQJ  0.0346
XQ0  0.0393
XLV  0.0397
XLP  0.0428
XAP  0.0450
XIX  0.0454
X0Y  0.0455
XL3  0.0461
X8D  0.0462
XBB  0.0470
XIS  0.0475
XQG  0.0498
X0U  0.0499
XDK  0.0509
XZZ  0.0510
XAN  0.0516
XIZ  0.0519
XH1  0.0520
X1J  0.0527
XLY  0.0538
XTN  0.0540
XJ0  0.0543
X0V  0.0547
X5A  0.0554
XZP  0.0562
XV1  0.0571
XDH  0.0575
X4V  0.0582
X01  0.0587
XD5  0.0623
XDI  0.0624
XXD  0.0628
XIY  0.0629
XP1  0.0629
X11  0.0631
XXO  0.0638
XH8  0.0639
XDN  0.0642
X2M  0.0643
XIF  0.0644
XHJ  0.0645
XM0  0.0647
XXH  0.0652
X0S  0.0658
XRP  0.0669
XXG  0.0670
X0W  0.0671
XD4  0.0673
X7D  0.0678
XZ2  0.0684
XEV  0.0687
X2K  0.0689
X7J  0.0692
XSG  0.0693
X8I  0.0695
X54  0.0697
X5Y  0.0707
XK7  0.0714
X7M  0.0723
XOS  0.0727
X6S  0.0732
X8E  0.0733
XJJ  0.0737
XRO  0.0737
XQI  0.0741
XKV  0.0749
XV7  0.0750
X35  0.0759
X45  0.0764
X6P  0.0765
XIM  0.0767
XFH  0.0770
XAZ  0.0773
XFN  0.0783
X66  0.0788
XFK  0.0790
X17  0.0792
XAV  0.0796
XNL  0.0812
X4C  0.0817
X67  0.0818
X6J  0.0822
XDE  0.0834
X36  0.0838
X06  0.0841
XKS  0.0857
XFJ  0.0859
XP0  0.0864
XRV  0.0864
XEB  0.0866
X7E  0.0876
X3A  0.0878
XQC  0.0880
XG1  0.0885
XX8  0.0892
XFL  0.0894
XRG  0.0894
XC1  0.0896
XFM  0.0898
XWY  0.0898
X51  0.0899
XIA  0.0899
X25  0.0901
X3X  0.0905
XO3  0.0908
XT5  0.0912
XJ3  0.0921
XVR  0.0924
XWV  0.0924
XVD  0.0925
X0A  0.0934
XPJ  0.0940
X1G  0.0952
XX9  0.0955
XPE  0.0956
XTW  0.0956
XH4  0.0957
X1M  0.0961
X2V  0.0964
XK4  0.0967
XZ1  0.0971
X03  0.0972
X6W  0.0972
X9F  0.0974
X46  0.0979
XOP  0.0980
XX1  0.0984
XF5  0.0990
XJ1  0.0997
XCG  0.0998
XEN  0.1000
XLO  0.1001
X0T  0.1005
XJV  0.1008
XNJ  0.1008
XT3  0.1009
XRX  0.1014
X55  0.1021
X77  0.1025
XRM  0.1026
XAO  0.1027
XJ4  0.1032
XS4  0.1038
XT0  0.1039
X2S  0.1043
XTV  0.1043
XKG  0.1047
XKA  0.1052
XZJ  0.1054
XY4  0.1059
XED  0.1061
XRS  0.1064
XVE  0.1064
XOD  0.1066
XBJ  0.1067
X05  0.1070
X9V  0.1070
XTP  0.1082
XZA  0.1082
X8U  0.1084
XB7  0.1084
XHD  0.1088
X2E  0.1091
X7O  0.1100
X9J  0.1100
XQ9  0.1102
XIH  0.1105
XAF  0.1106
XYJ  0.1110
X1Y  0.1113
X89  0.1117
X3H  0.1119
XU4  0.1120
X0M  0.1127
XQ7  0.1133
XNA  0.1145
XX7  0.1145
XXA  0.1145
XA7  0.1147
X4D  0.1150
X13  0.1151
XJH  0.1156
XOJ  0.1169
X6D  0.1171
X86  0.1172
XJX  0.1172
XUY  0.1173
XHM  0.1187
X2J  0.1195
X71  0.1198
XAA  0.1199
X2G  0.1209
XR1  0.1212
XTJ  0.1215
X2L  0.1217
XFW  0.1219
X42  0.1223
XMB  0.1224
XCX  0.1226
XM2  0.1226
XEG  0.1227
X6B  0.1234
XQO  0.1234
XX6  0.1245
X9G  0.1253
XPS  0.1253
X1E  0.1256
XTK  0.1257
X9I  0.1266
XNS  0.1266
XOG  0.1267
XJG  0.1268
X0B  0.1271
X9M  0.1272
XVY  0.1277
XBT  0.1280
XNB  0.1280
X2X  0.1286
XS1  0.1288
XVV  0.1288
X40  0.1293
XW1  0.1293
X47  0.1295
XHV  0.1295
XT4  0.1297
XBM  0.1298
XWG  0.1300
XBU  0.1310
X9S  0.1315
X3G  0.1316
X96  0.1323
XBK  0.1323
XYV  0.1324
X65  0.1326
X85  0.1327
XQ4  0.1329
XD3  0.1334
XVS  0.1335
X43  0.1336
XB1  0.1336
XCN  0.1336
XN7  0.1340
X74  0.1342
XEJ  0.1343
X84  0.1346
XS6  0.1347
XX4  0.1356
XGS  0.1358
X6L  0.1362
X8G  0.1364
XJ8  0.1366
XNW  0.1368
XH2  0.1372
X00  0.1376
XXZ  0.1379
XNC  0.1381
XDD  0.1382
X73  0.1386
XZN  0.1390
X5G  0.1393
XKP  0.1393
XMQ  0.1395
X29  0.1400
X07  0.1403
X2P  0.1405
X6G  0.1410
XSV  0.1423
XRJ  0.1427
X0J  0.1428
X16  0.1430
XSY  0.1431
XHG  0.1435
XNH  0.1438
XQA  0.1442
X7V  0.1446
XP5  0.1447
XKY  0.1449
XA4  0.1451
XUV  0.1454
XVM  0.1458
XT1  0.1463
XYW  0.1464
X9Y  0.1473
XV4  0.1476
XXE  0.1478
XRA  0.1479
X5J  0.1483
XMA  0.1489
XYM  0.1493
XTZ  0.1497
XVP  0.1497
X5M  0.1498
XUS  0.1505
X19  0.1506
XNZ  0.1508
XJE  0.1515
X44  0.1522
X97  0.1526
XDJ  0.1528
XSS  0.1538
XW4  0.1540
X3S  0.1544
XYA  0.1551
X9P  0.1553
X09  0.1563
X24  0.1570
XOV  0.1573
XAC  0.1575
X37  0.1577
XUP  0.1577
XY3  0.1579
XEZ  0.1580
XI1  0.1590
XDL  0.1591
X76  0.1599
X4M  0.1604
XL8  0.1610
XNI  0.1610
XOU  0.1610
X39  0.1623
X1H  0.1624
X0P  0.1626
X87  0.1626
XLI  0.1629
XP7  0.1631
XD1  0.1633
XFD  0.1635
XUM  0.1638
XR8  0.1640
X8V  0.1648
X95  0.1651
XOY  0.1664
XVJ  0.1668
XPL  0.1681
XXT  0.1702
XN2  0.1711
X98  0.1715
XM4  0.1717
X92  0.1721
XBG  0.1723
XNM  0.1725
XD2  0.1731
X0Q  0.1741
XMK  0.1741
XTG  0.1742
X72  0.1746
X4B  0.1747
XPH  0.1754
XCH  0.1756
XCZ  0.1757
XWJ  0.1760
XYQ  0.1768
XZB  0.1771
X14  0.1773
X2A  0.1777
XU2  0.1781
X2O  0.1783
XGY  0.1785
XPX  0.1789
XN1  0.1794
X62  0.1795
XJD  0.1795
XU5  0.1805
XND  0.1807
XDV  0.1811
XHA  0.1814
XA0  0.1821
XOK  0.1821
XQ1  0.1824
XFA  0.1825
X1A  0.1829
X02  0.1833
X1R  0.1833
XT7  0.1834
XDT  0.1839
XXL  0.1840
XL5  0.1880
XLM  0.1883
XL7  0.1907
XYN  0.1907
X9Q  0.1916
X75  0.1918
XL9  0.1918
XDY  0.1955
XWP  0.1960
XCJ  0.1961
XZV  0.1972
X6A  0.1974
XEA  0.1980
X93  0.1985
XX0  0.2000
X99  0.2001
XGD  0.2002
XXV  0.2012
XT8  0.2017
XQP  0.2018
XN3  0.2032
XY5  0.2037
XAT  0.2042
XFI  0.2046
X69  0.2052
XMD  0.2055
XXY  0.2066
XWS  0.2073
X94  0.2074
XK9  0.2087
XMG  0.2088
XL2  0.2101
XTC  0.2106
XYH  0.2106
XYC  0.2109
XTA  0.2112
X8W  0.2120
XGJ  0.2120
XFV  0.2121
X1V  0.2128
XOC  0.2140
XZM  0.2143
XAY  0.2154
XIN  0.2156
XQB  0.2156
X8M  0.2162
XX5  0.2174
X6C  0.2177
XHY  0.2177
XA6  0.2185
X8J  0.2191
X63  0.2206
XBD  0.2212
XX3  0.2214
XD6  0.2220
X4G  0.2225
X2N  0.2240
X6M  0.2241
XWW  0.2245
XF1  0.2268
XEY  0.2274
X3J  0.2282
XCI  0.2288
XL6  0.2295
XMH  0.2300
XY1  0.2332
X8Z  0.2361
XPD  0.2370
XAM  0.2372
XZY  0.2374
X4P  0.2389
XDM  0.2475
X21  0.2490
X9A  0.2500
XZ7  0.2518
X9X  0.2542
XQV  0.2550
X1N  0.2581
XMC  0.2598
XPO  0.2609
XJP  0.2641
XZ8  0.2645
XYY  0.2650
X0G  0.2685
XPM  0.2733
XYG  0.2784
XM1  0.2797
X32  0.2849
X20  0.2864
X2W  0.2926
XMS  0.2994
XY7  0.3086
X28  0.3129
XES  0.3170
XBV  0.3238
XF4  0.3244
XTD  0.3296
XXC  0.3334
X57  0.3386
XF7  0.3394
XPV  0.3441
XFS  0.3455
XQK  0.3602
XOM  0.3910
XBR  0.3918
X90  0.3940
XPG  0.4049
XNG  0.4394
XGM  0.4480
XLX  0.4627
X1S  0.4946
XH7  0.5137
XXP  0.5200
XSN  0.5608
XI7  0.5653
XCP  0.6393
XPC  0.6604
