Y84  0.0248
YGS  0.0309
YAN  0.0327
Y87  0.0329
Y3G  0.0333
Y8I  0.0370
YY1  0.0370
Y8M  0.0377
Y7V  0.0394
Y31  0.0395
Y8D  0.0406
YSO  0.0408
YIV  0.0412
YGJ  0.0472
YLG  0.0472
YTP  0.0477
YRL  0.0478
YH7  0.0489
Y8J  0.0491
YP4  0.0505
YAZ  0.0533
YV4  0.0540
Y0V  0.0555
YEG  0.0564
YGV  0.0565
YS6  0.0575
Y8G  0.0613
YYZ  0.0613
YZ9  0.0621
YF3  0.0633
YEX  0.0663
YOP  0.0663
YHO  0.0672
YGM  0.0676
YF4  0.0690
Y39  0.0705
YEY  0.0707
YQ7  0.0708
YE5  0.0717
YCN  0.0730
YIP  0.0732
YOV  0.0735
YLL  0.0736
YIH  0.0739
YUG  0.0757
Y00  0.0760
Y8A  0.0778
YXA  0.0796
YPN  0.0797
YIE  0.0798
Y52  0.0814
YWY  0.0820
Y13  0.0834
YRG  0.0842
YRO  0.0860
YFE  0.0863
YES  0.0870
YE7  0.0886
YTW  0.0888
YPA  0.0905
YRA  0.0906
YTN  0.0907
Y55  0.0908
YIN  0.0914
YKN  0.0919
Y1Z  0.0922
YSH  0.0927
YWA  0.0949
Y6G  0.0954
YAG  0.0957
YMZ  0.0960
YUK  0.0974
YDJ  0.0980
YH2  0.0982
YUN  0.0982
YG1  0.0989
YTT  0.0990
Y4L  0.0998
YK7  0.1000
YTR  0.1003
YW4  0.1009
YM7  0.1011
Y2F  0.1017
Y50  0.1031
Y34  0.1037
YE4  0.1056
YR7  0.1056
Y41  0.1058
YR4  0.1062
YI5  0.1063
Y7Y  0.1066
YPM  0.1067
YN4  0.1068
YD4  0.1076
YYA  0.1076
YWZ  0.1080
Y3L  0.1095
YTB  0.1120
Y3P  0.1122
YK1  0.1125
Y2D  0.1129
YTD  0.1131
Y22  0.1132
YRM  0.1136
YFS  0.1139
YGG  0.1139
YSY  0.1142
YOF  0.1144
YW7  0.1144
YQG  0.1145
YUP  0.1145
YR3  0.1146
YG7  0.1151
YH6  0.1161
YY5  0.1164
Y6A  0.1169
